7,title_42_,author_74_,10
40,title_87_87_87_8,author_93_93_,2
30,title_50_50_50_5,author_90_90_,8
36,title_50_50_50_5,author_90_90_,3
46,title_7_7,author_53_53_53_,5
1,title_71_71_71_,author_54_54_54_,8
32,title_71_71_71_,author_18_,6
42,title_19_19_,author_56_56_56_,9
44,title_60,author_61_61_,3
33,title_25_25_25_2,author_49_,6
25,title_50_50_50_5,author_66_66_,6
38,title_90_90,author_53_53_53_,6
17,title_90_90,author_53_53_53_,7
38,title_83_8,author_28_28_28_,8
1,title_34_34,author_79_,4
6,title_85_85_8,author_95_95_,10
7,title_98_98_98,author_17_,3
30,title_65_65,author_93_93_,9
22,title_7_7,author_50_50_50_,10
1,title_7_7,author_50_50_50_,9
21,title_99_99,author_28_28_28_,5
27,title_42_,author_59_59_59_,2
20,title_96_96,author_16_,2
10,title_47_47_,author_7_7_7_,7
49,title_60,author_8_8_8_8_8,8
29,title_85_85_8,author_4_4_4_,8
7,title_85_85_8,author_4_4_4_,7
23,title_34_34,author_96_96_,5
15,title_58_5,author_20_20_20_,5
29,title_30_30_30,author_52_52_52_,3
12,title_30_30_30,author_52_52_52_,5
45,title_63,author_15_,9
22,title_63,author_15_,5
5,title_63,author_15_,6
38,title_83_8,author_35_35_,10
4,title_53_53_53_5,author_67_67_,5
28,title_75_75_,author_27_27_27_,2
14,title_75_75_,author_74_,9
11,title_100_100_,author_12_,4
45,title_78_78_,author_3_3,8
9,title_44_44_,author_67_67_,3
38,title_14_,author_59_59_59_,9
13,title_70_,author_9_9,1
23,title_38,author_33_33_,4
36,title_37_37,author_83_83_83_,5
37,title_37_37,author_83_83_83_,8
39,title_19_19_33,author_47_,6
43,title_19_19_33,author_47_,7
